"site_id","date","male","females","nymphs","larva","litter_depth","canopy_cover","soil_humidity","waypoint_number","latitude","longitude","province","region","site_name","other_species","tick_total","tick_presence","tick_density"
"KG1 (Jay)",2019-07-02,0,0,0,0,2.5,95.3,40,609,44.867000579834,-77.0236968994141,"Ontario","Kingston",,,0,0,0
"KG1 (Roman)",2019-07-02,0,0,0,0,2,100,30,977,44.867000579834,-77.0233993530273,"Ontario","Kingston",,,0,0,0
"KG1 (Jay)",2019-07-02,0,0,0,0,3.5,96.3,60,617,44.8674011230469,-77.0212020874023,"Ontario","Kingston",,,0,0,0
"KG1 (Roman)",2019-07-02,0,0,0,0,7,100,40,985,44.8675003051758,-77.0207977294922,"Ontario","Kingston",,,0,0,0
"KG1 (Jay)",2019-07-02,0,0,0,0,1.5,95.8,35,625,44.8678016662598,-77.0192031860352,"Ontario","Kingston",,,0,0,0
"KG1 (Roman)",2019-07-02,0,0,0,0,2.5,100,30,993,44.8679008483887,-77.0185012817383,"Ontario","Kingston",,,0,0,0
"KG1 (Jay)",2019-07-02,0,0,0,0,1,91.6,15,633,44.8685989379883,-77.0168991088867,"Ontario","Kingston",,,0,0,0
"KG1 (Roman)",2019-07-02,0,0,0,0,5,100,30,1001,44.8690986633301,-77.0157012939453,"Ontario","Kingston",,,0,0,0
"KG1 (Jay)",2019-07-02,0,0,0,0,2.5,92.2,20,641,44.8698997497559,-77.0160980224609,"Ontario","Kingston",,,0,0,0
"KG1 (Roman)",2019-07-02,0,0,0,0,2,87.8,20,1009,44.8709983825684,-77.0161972045898,"Ontario","Kingston",,,0,0,0
"KG10 (Benoit)",2019-07-05,0,0,0,0,0,0,40,1239,44.122501373291,-76.4489974975586,"Ontario","Kingston",,,0,0,0
"KG10 (Jay)",2019-07-05,0,0,1,0,0,75,50,857,44.1226005554199,-76.4489974975586,"Ontario","Kingston",,,1,1,0.005
"KG10 (Benoit)",2019-07-05,0,0,0,0,0,27.7,60,1247,44.1208992004395,-76.4475021362305,"Ontario","Kingston",,,0,0,0
"KG10 (Jay)",2019-07-05,0,0,0,0,0,90.1,80,865,44.1211013793945,-76.4477005004883,"Ontario","Kingston",,,0,0,0
"KG10 (Benoit)",2019-07-05,0,0,1,0,1,96.1,60,1255,44.1194000244141,-76.4477005004883,"Ontario","Kingston",,,1,1,0.005
"KG10 (Jay)",2019-07-05,0,0,0,0,0,89.8,50,873,44.1195983886719,-76.4476013183594,"Ontario","Kingston",,,0,0,0
"KG10 (Benoit)",2019-07-05,0,0,1,0,1,100,70,1263,44.1186981201172,-76.4484024047852,"Ontario","Kingston",,,1,1,0.005
"KG10 (Jay)",2019-07-05,0,0,0,0,0,92.7,90,881,44.1186981201172,-76.4485015869141,"Ontario","Kingston",,,0,0,0
"KG10 (Benoit)",2019-07-05,0,0,1,0,0,95.5,30,1271,44.1203002929688,-76.4468994140625,"Ontario","Kingston",,,1,1,0.005
"KG10 (Jay)",2019-07-05,0,0,0,0,0.5,88,70,889,44.1195983886719,-76.4476013183594,"Ontario","Kingston",,,0,0,0
"KG11 (Andreea)",2019-07-03,0,0,1,0,2,94.2,35,857,44.2341995239258,-76.4518966674805,"Ontario","Kingston",,,1,1,0.005
"KG11 (Roman)",2019-07-03,0,0,1,0,3,100,40,1100,44.233699798584,-76.4523010253906,"Ontario","Kingston",,,1,1,0.005
"KG11 (Andreea)",2019-07-03,0,0,0,0,2,93.7,50,865,44.2332992553711,-76.4531021118164,"Ontario","Kingston",,,0,0,0
"KG11 (Roman)",2019-07-03,0,1,0,0,2,75.2,45,1108,44.2324981689453,-76.4539031982422,"Ontario","Kingston",,,1,1,0.005
"KG11 (Andreea)",2019-07-03,0,0,0,0,6,97.6,50,873,44.2322006225586,-76.4542007446289,"Ontario","Kingston",,,0,0,0
"KG11 (Roman)",2019-07-03,0,0,2,0,1,100,40,1116,44.2310981750488,-76.4554977416992,"Ontario","Kingston",,,2,1,0.01
"KG11 (Andreea)",2019-07-03,0,0,0,0,12,95.3,40,881,44.2322006225586,-76.4542007446289,"Ontario","Kingston",,,0,0,0
"KG11 (Roman)",2019-07-03,0,0,0,0,2.5,100,40,1124,44.2300987243652,-76.4574966430664,"Ontario","Kingston",,,0,0,0
"KG11 (Andreea)",2019-07-03,0,0,0,0,1,95.4,20,889,44.2332992553711,-76.4531021118164,"Ontario","Kingston",,,0,0,0
"KG11 (Roman)",2019-07-03,0,0,0,0,0,0,10,1132,44.2299995422363,-76.4577026367188,"Ontario","Kingston",,,0,0,0
"KG12 (Andreea)",2019-07-03,0,0,0,0,6,84.9,70,898,44.2484016418457,-76.4842987060547,"Ontario","Kingston",,,0,0,0
"KG12 (Roman)",2019-07-03,0,0,0,0,0,12.7,10,1140,44.2481994628906,-76.4844970703125,"Ontario","Kingston",,,0,0,0
"KG12 (Andreea)",2019-07-03,0,0,0,0,0,92.2,5,906,44.2490997314453,-76.4817962646484,"Ontario","Kingston",,,0,0,0
"KG12 (Roman)",2019-07-03,0,0,0,0,0,12.7,15,1148,44.2490005493164,-76.4817962646484,"Ontario","Kingston",,,0,0,0
"KG12 (Andreea)",2019-07-03,0,0,0,0,6,72.9,100,914,44.2487983703613,-76.4813003540039,"Ontario","Kingston",,,0,0,0
"KG12 (Roman)",2019-07-03,0,0,0,0,1,56.5,10,1156,44.2487983703613,-76.4811019897461,"Ontario","Kingston",,,0,0,0
"KG12 (Andreea)",2019-07-03,0,0,0,0,0,76.3,10,922,44.2490997314453,-76.4804992675781,"Ontario","Kingston",,,0,0,0
"KG12 (Roman)",2019-07-03,0,0,0,0,3,92.7,30,1164,44.2494010925293,-76.4838027954102,"Ontario","Kingston",,,0,0,0
