"","province","region","site_name","site_id","year","date","waypoint_number","latitude","longitude","larva","nymphs","male","females","litter_depth","soil_humidity","canopy_cover"
"1","ON","Hamilton","Guelph Lake Conservation Area","HM3",2019,"2019-07-23",8,NA,NA,0,0,0,0,"45","20","81.28"
"2","ON","Hamilton","Guelph Lake Conservation Area","HM3",2019,"2019-07-23",16,NA,NA,0,0,0,0,"4","24","79.98"
"3","ON","Hamilton","Guelph Lake Conservation Area","HM3",2019,"2019-07-23",24,NA,NA,0,0,0,0,"32","40","84.92"
"4","ON","Hamilton","Guelph Lake Conservation Area","HM3",2019,"2019-07-23",32,NA,NA,0,0,0,0,"25","77","0"
"5","ON","Hamilton","Guelph Lake Conservation Area","HM3",2019,"2019-07-23",40,NA,NA,0,0,0,0,"0","41","0"
"6","ON","Hamilton","Guelph Lake Conservation Area","HM3",2019,"2019-07-23",48,NA,NA,0,0,0,0,"5","41","45.92"
"7","ON","Hamilton","Guelph Lake Conservation Area","HM3",2019,"2019-07-23",56,NA,NA,0,0,0,0,"21","20","92.2"
"8","ON","Hamilton","Guelph Lake Conservation Area","HM3",2019,"2019-07-23",64,NA,NA,0,0,0,0,"3","60","95.32"
"9","ON","Hamilton","Guelph Lake Conservation Area","HM3",2019,"2019-07-23",72,NA,NA,0,0,0,0,"2","35","96.36"
"10","ON","Hamilton","Guelph Lake Conservation Area","HM3",2019,"2019-07-23",80,NA,NA,0,0,0,0,"22","75","88.82"
"11","ON","Hamilton","Christie Lake Conservation Area","HM2",2019,"2019-07-29",8,NA,NA,0,0,0,0,"1","10","97.4"
"12","ON","Hamilton","Christie Lake Conservation Area","HM2",2019,"2019-07-29",16,NA,NA,0,0,0,0,"3","10","100"
"13","ON","Hamilton","Christie Lake Conservation Area","HM2",2019,"2019-07-29",24,NA,NA,0,0,0,0,"2","21","83.36"
"14","ON","Hamilton","Christie Lake Conservation Area","HM2",2019,"2019-07-29",32,NA,NA,0,0,0,0,"14","15","97.66"
"15","ON","Hamilton","Christie Lake Conservation Area","HM2",2019,"2019-07-29",40,NA,NA,0,1,0,0,"51","12","95.32"
"16","ON","Hamilton","Christie Lake Conservation Area","HM2",2019,"2019-07-29",48,NA,NA,0,0,0,0,"3","18","98.44"
"17","ON","Hamilton","Christie Lake Conservation Area","HM2",2019,"2019-07-29",56,NA,NA,0,0,0,0,"3","70","98.96"
"18","ON","Hamilton","Christie Lake Conservation Area","HM2",2019,"2019-07-29",64,NA,NA,0,0,0,0,"27","75","99.74"
"19","ON","Hamilton","Christie Lake Conservation Area","HM2",2019,"2019-07-29",67,NA,NA,0,1,0,0,"55","35","96.62"
"20","ON","Hamilton","Christie Lake Conservation Area","HM2",2019,"2019-07-29",72,NA,NA,0,0,0,0,"3","30","100"
"21","ON","Hamilton","Christie Lake Conservation Area","HM2",2019,"2019-07-29",80,NA,NA,0,0,0,0,"26","32","92.72"
"22","ON","Hamilton","Valens Lake Conservation Area","HM10",2019,"2019-07-24",8,NA,NA,0,0,0,0,"0","80","84.14"
"23","ON","Hamilton","Valens Lake Conservation Area","HM10",2019,"2019-07-24",16,NA,NA,0,0,0,0,"0","80","100"
"24","ON","Hamilton","Valens Lake Conservation Area","HM10",2019,"2019-07-24",24,NA,NA,0,0,0,0,"2","70","98.44"
"25","ON","Hamilton","Valens Lake Conservation Area","HM10",2019,"2019-07-24",32,NA,NA,0,0,0,0,"3","90","94.8"
"26","ON","Hamilton","Valens Lake Conservation Area","HM10",2019,"2019-07-24",40,NA,NA,0,0,0,0,"4","90","97.4"
"27","ON","Hamilton","Valens Lake Conservation Area","HM10",2019,"2019-07-24",48,NA,NA,0,0,0,0,"3","90","79.46"
"28","ON","Hamilton","Valens Lake Conservation Area","HM10",2019,"2019-07-24",56,NA,NA,0,0,0,0,"1","84","56.84"
"29","ON","Hamilton","Valens Lake Conservation Area","HM10",2019,"2019-07-24",64,NA,NA,0,0,0,0,"25","79","100"
"30","ON","Hamilton","Valens Lake Conservation Area","HM10",2019,"2019-07-24",72,NA,NA,0,0,0,0,"4","100","100"
"31","ON","Hamilton","Valens Lake Conservation Area","HM10",2019,"2019-07-24",80,NA,NA,0,0,0,0,"0","100","97.92"
"32","ON","Hamilton","Dundas Valley Conservation Area","HM5",2019,"2019-07-29",8,NA,NA,0,0,0,0,"1","20","100"
"33","ON","Hamilton","Dundas Valley Conservation Area","HM5",2019,"2019-07-29",16,NA,NA,0,0,0,0,"4","10","100"
"34","ON","Hamilton","Dundas Valley Conservation Area","HM5",2019,"2019-07-29",24,NA,NA,0,0,0,0,"1","20","95.58"
"35","ON","Hamilton","Dundas Valley Conservation Area","HM5",2019,"2019-07-29",32,NA,NA,0,0,0,0,"1","20","81.28"
"36","ON","Hamilton","Dundas Valley Conservation Area","HM5",2019,"2019-07-29",40,NA,NA,0,0,0,0,"0","40","100"
"37","ON","Hamilton","Dundas Valley Conservation Area","HM5",2019,"2019-07-29",48,NA,NA,0,0,0,0,"3","90","90.12"
"38","ON","Hamilton","Dundas Valley Conservation Area","HM5",2019,"2019-07-29",56,NA,NA,0,0,0,0,"3","20","100"
"39","ON","Hamilton","Dundas Valley Conservation Area","HM5",2019,"2019-07-29",64,NA,NA,0,0,0,0,"3","60","100"
"40","ON","Hamilton","Dundas Valley Conservation Area","HM5",2019,"2019-07-29",72,NA,NA,0,0,0,0,"0","70","100"
"41","ON","Hamilton","Dundas Valley Conservation Area","HM5",2019,"2019-07-29",80,NA,NA,0,0,0,0,"0","0","100"
"42","ON","Hamilton","Hilton Falls Conservation Area","HM4",2019,"2019-07-31",8,NA,NA,0,0,0,0,"3","40","92.46"
"43","ON","Hamilton","Hilton Falls Conservation Area","HM4",2019,"2019-07-31",16,NA,NA,0,0,0,0,"3","30","88.56"
"44","ON","Hamilton","Hilton Falls Conservation Area","HM4",2019,"2019-07-31",24,NA,NA,0,0,0,0,"1","65","92.2"
"45","ON","Hamilton","Hilton Falls Conservation Area","HM4",2019,"2019-07-31",32,NA,NA,0,0,0,0,"5","40","98.44"
"46","ON","Hamilton","Hilton Falls Conservation Area","HM4",2019,"2019-07-31",40,NA,NA,0,0,0,0,"2","30","98.96"
"47","ON","Hamilton","Hilton Falls Conservation Area","HM4",2019,"2019-07-31",48,NA,NA,0,0,0,0,"3","80","98.44"
"48","ON","Hamilton","Hilton Falls Conservation Area","HM4",2019,"2019-07-31",56,NA,NA,0,0,0,0,"1","30","95.58"
"49","ON","Hamilton","Hilton Falls Conservation Area","HM4",2019,"2019-07-31",64,NA,NA,0,0,0,0,"3","40","100"
"50","ON","Hamilton","Hilton Falls Conservation Area","HM4",2019,"2019-07-31",72,NA,NA,0,0,0,0,"7","60","100"
"51","ON","Hamilton","Hilton Falls Conservation Area","HM4",2019,"2019-07-31",80,NA,NA,0,0,0,0,"4","35","100"
"52","ON","Hamilton","Preservation Park","HM7",2019,"2019-07-31",8,NA,NA,0,0,0,0,"1","10","100"
"53","ON","Hamilton","Preservation Park","HM7",2019,"2019-07-31",16,NA,NA,0,0,0,0,"1","70","99.22"
"54","ON","Hamilton","Preservation Park","HM7",2019,"2019-07-31",24,NA,NA,0,0,0,0,"1","50","100"
"55","ON","Hamilton","Preservation Park","HM7",2019,"2019-07-31",32,NA,NA,0,0,0,0,"2","20","98.44"
"56","ON","Hamilton","Preservation Park","HM7",2019,"2019-07-31",40,NA,NA,0,0,0,0,"2","22","96.36"
"57","ON","Hamilton","Preservation Park","HM7",2019,"2019-07-31",48,NA,NA,0,0,0,0,"17","36","99.48"
"58","ON","Hamilton","Preservation Park","HM7",2019,"2019-07-31",56,NA,NA,0,0,0,0,"22","23","96.88"
"59","ON","Hamilton","Preservation Park","HM7",2019,"2019-07-31",64,NA,NA,0,0,0,0,"3","21","100"
"60","ON","Hamilton","Preservation Park","HM7",2019,"2019-07-31",72,NA,NA,0,0,0,0,"35","18","99.48"
