province,region,site_name,site_id,date,waypoint_number,latitude,longitude,larva,nymphs,male,females,litter_depth,soil_humidity,canopy_cover,tick_total,tick_presence,tick_density
ON,Hamilton,Guelph Lake Conservation Area,HM3,2019-07-23,8,,,0,0,0,0,45,20,81.28,0,0,0
ON,Hamilton,Guelph Lake Conservation Area,HM3,2019-07-23,16,,,0,0,0,0,4,24,79.98,0,0,0
ON,Hamilton,Guelph Lake Conservation Area,HM3,2019-07-23,24,,,0,0,0,0,32,40,84.92,0,0,0
ON,Hamilton,Guelph Lake Conservation Area,HM3,2019-07-23,32,,,0,0,0,0,25,77,0,0,0,0
ON,Hamilton,Guelph Lake Conservation Area,HM3,2019-07-23,40,,,0,0,0,0,0,41,0,0,0,0
ON,Hamilton,Guelph Lake Conservation Area,HM3,2019-07-23,48,,,0,0,0,0,5,41,45.92,0,0,0
ON,Hamilton,Guelph Lake Conservation Area,HM3,2019-07-23,56,,,0,0,0,0,21,20,92.2,0,0,0
ON,Hamilton,Guelph Lake Conservation Area,HM3,2019-07-23,64,,,0,0,0,0,3,60,95.32,0,0,0
ON,Hamilton,Guelph Lake Conservation Area,HM3,2019-07-23,72,,,0,0,0,0,2,35,96.36,0,0,0
ON,Hamilton,Guelph Lake Conservation Area,HM3,2019-07-23,80,,,0,0,0,0,22,75,88.82,0,0,0
ON,Hamilton,Christie Lake Conservation Area,HM2,2019-07-29,8,,,0,0,0,0,1,10,97.4,0,0,0
ON,Hamilton,Christie Lake Conservation Area,HM2,2019-07-29,16,,,0,0,0,0,3,10,100,0,0,0
ON,Hamilton,Christie Lake Conservation Area,HM2,2019-07-29,24,,,0,0,0,0,2,21,83.36,0,0,0
ON,Hamilton,Christie Lake Conservation Area,HM2,2019-07-29,32,,,0,0,0,0,14,15,97.66,0,0,0
ON,Hamilton,Christie Lake Conservation Area,HM2,2019-07-29,40,,,0,1,0,0,51,12,95.32,1,1,0.005
ON,Hamilton,Christie Lake Conservation Area,HM2,2019-07-29,48,,,0,0,0,0,3,18,98.44,0,0,0
ON,Hamilton,Christie Lake Conservation Area,HM2,2019-07-29,56,,,0,0,0,0,3,70,98.96,0,0,0
ON,Hamilton,Christie Lake Conservation Area,HM2,2019-07-29,64,,,0,0,0,0,27,75,99.74,0,0,0
ON,Hamilton,Christie Lake Conservation Area,HM2,2019-07-29,67,,,0,1,0,0,55,35,96.62,1,1,0.005
ON,Hamilton,Christie Lake Conservation Area,HM2,2019-07-29,72,,,0,0,0,0,3,30,100,0,0,0
ON,Hamilton,Christie Lake Conservation Area,HM2,2019-07-29,80,,,0,0,0,0,26,32,92.72,0,0,0
ON,Hamilton,Valens Lake Conservation Area,HM10,2019-07-24,8,,,0,0,0,0,0,80,84.14,0,0,0
ON,Hamilton,Valens Lake Conservation Area,HM10,2019-07-24,16,,,0,0,0,0,0,80,100,0,0,0
ON,Hamilton,Valens Lake Conservation Area,HM10,2019-07-24,24,,,0,0,0,0,2,70,98.44,0,0,0
ON,Hamilton,Valens Lake Conservation Area,HM10,2019-07-24,32,,,0,0,0,0,3,90,94.8,0,0,0
ON,Hamilton,Valens Lake Conservation Area,HM10,2019-07-24,40,,,0,0,0,0,4,90,97.4,0,0,0
ON,Hamilton,Valens Lake Conservation Area,HM10,2019-07-24,48,,,0,0,0,0,3,90,79.46,0,0,0
ON,Hamilton,Valens Lake Conservation Area,HM10,2019-07-24,56,,,0,0,0,0,1,84,56.84,0,0,0
ON,Hamilton,Valens Lake Conservation Area,HM10,2019-07-24,64,,,0,0,0,0,25,79,100,0,0,0
ON,Hamilton,Valens Lake Conservation Area,HM10,2019-07-24,72,,,0,0,0,0,4,100,100,0,0,0
ON,Hamilton,Valens Lake Conservation Area,HM10,2019-07-24,80,,,0,0,0,0,0,100,97.92,0,0,0
ON,Hamilton,Dundas Valley Conservation Area,HM5,2019-07-29,8,,,0,0,0,0,1,20,100,0,0,0
ON,Hamilton,Dundas Valley Conservation Area,HM5,2019-07-29,16,,,0,0,0,0,4,10,100,0,0,0
ON,Hamilton,Dundas Valley Conservation Area,HM5,2019-07-29,24,,,0,0,0,0,1,20,95.58,0,0,0
ON,Hamilton,Dundas Valley Conservation Area,HM5,2019-07-29,32,,,0,0,0,0,1,20,81.28,0,0,0
ON,Hamilton,Dundas Valley Conservation Area,HM5,2019-07-29,40,,,0,0,0,0,0,40,100,0,0,0
ON,Hamilton,Dundas Valley Conservation Area,HM5,2019-07-29,48,,,0,0,0,0,3,90,90.12,0,0,0
ON,Hamilton,Dundas Valley Conservation Area,HM5,2019-07-29,56,,,0,0,0,0,3,20,100,0,0,0
ON,Hamilton,Dundas Valley Conservation Area,HM5,2019-07-29,64,,,0,0,0,0,3,60,100,0,0,0
