"","province","region","site_name","site_id","date","waypoint_number","latitude","longitude","larva","nymphs","male","females","litter_depth","soil_humidity","canopy_cover","other_species"
"1","ON","Kingston","Kashwakamak Lake","KG1","18-06-2023",8,44.8669013977051,-77.0243988037109,NA,NA,NA,NA,2,10,100,NA
"2","ON","Kingston","Kashwakamak Lake","KG1","18-06-2023",16,44.8671989440918,-77.0226974487305,NA,NA,NA,NA,3,10,100,NA
"3","ON","Kingston","Kashwakamak Lake","KG1","18-06-2023",24,44.8675003051758,-77.0210037231445,NA,NA,NA,NA,1,20,100,NA
"4","ON","Kingston","Kashwakamak Lake","KG1","18-06-2023",32,44.8676986694336,-77.0193023681641,NA,NA,1,NA,1,20,100,NA
"5","ON","Kingston","Kashwakamak Lake","KG1","18-06-2023",40,44.8683013916016,-77.0175018310547,NA,NA,NA,NA,3,20,100,NA
"6","ON","Kingston","Kashwakamak Lake","KG1","18-06-2023",48,44.8669013977051,-77.0244979858398,NA,NA,NA,NA,2,50,100,NA
"7","ON","Kingston","Kashwakamak Lake","KG1","18-06-2023",56,44.8671989440918,-77.0225982666016,NA,NA,NA,1,1,60,100,NA
"8","ON","Kingston","Kashwakamak Lake","KG1","18-06-2023",64,44.8675994873047,-77.0205001831055,NA,NA,NA,NA,4,60,100,"1"
"9","ON","Kingston","Kashwakamak Lake","KG1","18-06-2023",72,44.8680000305176,-77.0184020996094,NA,NA,NA,NA,0.5,80,100,NA
"10","ON","Kingston","Kashwakamak Lake","KG1","18-06-2023",80,44.8689002990723,-77.015998840332,NA,NA,NA,NA,0.25,60,100,NA
"11","ON","Kingston","Channelview Park","KG2","18-06-2023",8,44.2807998657227,-76.3318023681641,NA,4,2,NA,5,20,98,NA
"12","ON","Kingston","Channelview Park","KG2","18-06-2023",16,44.2803001403809,-76.3329010009766,NA,3,1,1,4,30,100,NA
"13","ON","Kingston","Channelview Park","KG2","18-06-2023",24,44.280101776123,-76.3347015380859,NA,2,NA,1,3,15,100,"1"
"14","ON","Kingston","Channelview Park","KG2","18-06-2023",32,44.2804985046387,-76.334602355957,NA,3,NA,NA,4,30,90,NA
