"","province","region","site_name","site_id","date","waypoint_number","latitude","longitude","larva","nymphs","male","females","litter_depth","soil_humidity","canopy_cover","othere_species"
"1","ON","Kingston","Kashwakamak Lake","KG1","19.06.2024",8,44.8669013977051,-77.0243988037109,NA,NA,NA,NA,2.5,20,95.8,NA
"2","ON","Kingston","Kashwakamak Lake","KG1","19.06.2024",16,44.8671989440918,-77.0226974487305,NA,NA,NA,NA,5,20,83.4,NA
"3","ON","Kingston","Kashwakamak Lake","KG1","19.06.2024",24,44.8675003051758,-77.0210037231445,NA,NA,NA,NA,5,20,90.6,NA
"4","ON","Kingston","Kashwakamak Lake","KG1","19.06.2024",32,44.8676986694336,-77.0193023681641,NA,NA,NA,NA,4,20,95.8,NA
"5","ON","Kingston","Kashwakamak Lake","KG1","19.06.2024",40,44.8683013916016,-77.0175018310547,NA,NA,NA,NA,5,25,88.6,NA
"6","ON","Kingston","Kashwakamak Lake","KG1","19.06.2024",48,44.8669013977051,-77.0244979858398,NA,NA,NA,NA,2,20,100,NA
"7","ON","Kingston","Kashwakamak Lake","KG1","19.06.2024",56,44.8671989440918,-77.0225982666016,NA,NA,NA,NA,2,20,50.1,NA
"8","ON","Kingston","Kashwakamak Lake","KG1","19.06.2024",64,44.8675994873047,-77.0205001831055,NA,NA,NA,NA,3,20,100,NA
"9","ON","Kingston","Kashwakamak Lake","KG1","19.06.2024",72,44.8680000305176,-77.0184020996094,NA,NA,NA,NA,2,30,100,NA
"10","ON","Kingston","Kashwakamak Lake","KG1","19.06.2024",80,44.8689002990723,-77.015998840332,NA,NA,NA,NA,2,20,100,NA
"11","ON","Kingston","Channelview Park","KG2","19.06.2024",8,44.2807998657227,-76.3318023681641,NA,4,NA,NA,7,30,100,"1 Der. F"
"12","ON","Kingston","Channelview Park","KG2","19.06.2024",16,44.2803001403809,-76.3329010009766,NA,5,NA,NA,2,50,100,NA
"13","ON","Kingston","Channelview Park","KG2","19.06.2024",24,44.280101776123,-76.3347015380859,NA,3,NA,NA,3,40,100,NA
"14","ON","Kingston","Channelview Park","KG2","19.06.2024",32,44.2804985046387,-76.334602355957,NA,5,NA,NA,4,20,76,NA
"15","ON","Kingston","Channelview Park","KG2","19.06.2024",40,44.2806015014648,-76.3326034545898,NA,4,NA,NA,0,10,0,NA
"16","ON","Kingston","Channelview Park","KG2","19.06.2024",48,44.2811012268066,-76.3314971923828,NA,NA,NA,NA,2,40,100,NA
"17","ON","Kingston","Channelview Park","KG2","19.06.2024",56,44.2817993164062,-76.3336029052734,NA,4,NA,NA,2,20,100,NA
"18","ON","Kingston","Channelview Park","KG2","19.06.2024",64,44.282901763916,-76.3314971923828,NA,1,NA,1,0,60,0,NA
"19","ON","Kingston","Channelview Park","KG2","19.06.2024",72,44.2812004089355,-76.3304977416992,NA,NA,NA,NA,0,70,100,NA
"20","ON","Kingston","Channelview Park","KG2","19.06.2024",80,44.2820014953613,-76.3287963867188,NA,NA,NA,NA,3,40,100,"3 Der. (2M & 1F)"
"21","ON","Kingston","Little Cataraqui Creek","KG3","19.06.2024",8,44.2855987548828,-76.5103988647461,NA,2,NA,1,0,40,51,NA
"22","ON","Kingston","Little Cataraqui Creek","KG3","19.06.2024",16,44.2868003845215,-76.5105972290039,NA,1,NA,1,0,35,52,NA
"23","ON","Kingston","Little Cataraqui Creek","KG3","19.06.2024",24,44.288200378418,-76.5105972290039,NA,1,NA,NA,1,30,100,NA
"24","ON","Kingston","Little Cataraqui Creek","KG3","19.06.2024",32,44.2896003723145,-76.5101013183594,NA,4,NA,NA,0,40,100,NA
"25","ON","Kingston","Little Cataraqui Creek","KG3","19.06.2024",40,44.2868995666504,-76.5094985961914,NA,1,NA,NA,0,10,100,NA
"26","ON","Kingston","Little Cataraqui Creek","KG3","19.06.2024",48,44.2858009338379,-76.5109024047852,NA,2,NA,NA,0,90,100,NA
"27","ON","Kingston","Little Cataraqui Creek","KG3","19.06.2024",56,44.2873992919922,-76.511100769043,NA,2,1,1,1,100,100,"3 Der. (2M & 1F)"
"28","ON","Kingston","Little Cataraqui Creek","KG3","19.06.2024",64,44.2890014648438,-76.5098037719727,NA,2,NA,NA,0,10,16,"2 Der. (1M &1F)"
"29","ON","Kingston","Little Cataraqui Creek","KG3","19.06.2024",72,44.2873992919922,-76.5098037719727,NA,NA,NA,NA,0,10,24,NA
"30","ON","Kingston","Little Cataraqui Creek","KG3","19.06.2024",80,44.285400390625,-76.5098037719727,NA,NA,NA,NA,0,20,100,NA
"31","ON","Kingston","Lake Opinicon (QUBS)","KG4","20.06.2024",8,44.5685005187988,-76.323600769043,NA,1,NA,NA,5,40,100,NA
"32","ON","Kingston","Lake Opinicon (QUBS)","KG4","20.06.2024",16,44.5691986083984,-76.3218994140625,NA,2,NA,NA,10,40,100,NA
"33","ON","Kingston","Lake Opinicon (QUBS)","KG4","20.06.2024",24,44.567699432373,-76.3225021362305,2,2,NA,NA,1,40,100,NA
"34","ON","Kingston","Lake Opinicon (QUBS)","KG4","20.06.2024",32,44.5667991638184,-76.3239974975586,NA,4,NA,NA,1,50,50.1,NA
"35","ON","Kingston","Lake Opinicon (QUBS)","KG4","20.06.2024",40,44.567798614502,-76.3249969482422,NA,6,NA,NA,3,10,16.8,NA
"36","ON","Kingston","Lake Opinicon (QUBS)","KG4","20.06.2024",48,44.5662002563477,-76.3262023925781,NA,14,NA,NA,5,20,100,"1 Der. F"
"37","ON","Kingston","Lake Opinicon (QUBS)","KG4","20.06.2024",56,44.5672988891602,-76.3251037597656,NA,9,NA,NA,5,20,100,NA
"38","ON","Kingston","Lake Opinicon (QUBS)","KG4","20.06.2024",64,44.5671005249023,-76.3255996704102,NA,6,NA,NA,1,30,100,NA
"39","ON","Kingston","Lake Opinicon (QUBS)","KG4","20.06.2024",72,44.5671997070312,-76.3256988525391,NA,7,NA,NA,5,30,100,NA
"40","ON","Kingston","Lake Opinicon (QUBS)","KG4","20.06.2024",80,44.5671997070312,-76.3256988525391,8,3,NA,NA,5,20,100,NA
"41","ON","Kingston","Perth Road","KG5","19.06.2024",8,44.4715995788574,-76.4935989379883,NA,1,1,NA,0,45,52,NA
"42","ON","Kingston","Perth Road","KG5","19.06.2024",16,44.4706001281738,-76.4960021972656,NA,2,NA,NA,1,40,63,NA
"43","ON","Kingston","Perth Road","KG5","19.06.2024",24,44.469799041748,-76.4989013671875,NA,8,NA,NA,2,50,84,NA
"44","ON","Kingston","Perth Road","KG5","19.06.2024",32,44.4691009521484,-76.5024032592773,NA,3,NA,NA,3,40,100,NA
"45","ON","Kingston","Perth Road","KG5","19.06.2024",40,44.4682006835937,-76.5043029785156,NA,7,NA,NA,1,20,100,NA
"46","ON","Kingston","Perth Road","KG5","19.06.2024",48,44.4715995788574,-76.4935989379883,NA,2,NA,NA,0,70,20,NA
