"","GroupID","Site_ID","Date","Male","Females","Nymphs","Litter_depth","Canopy_cover","Soil_humidity","Waypoints"
"1",1,"OG1 (Benoit)",2019-06-24,0,0,0,0,97.9,20,732
"2",1,"OG1 (Roman)",2019-06-24,0,0,0,0,100,20,694
"3",2,"OG1 (Benoit)",2019-06-24,0,0,0,0,100,20,740
"4",2,"OG1 (Roman)",2019-06-24,0,0,0,0,100,10,702
"5",3,"OG1 (Benoit)",2019-06-24,0,0,0,0,37.7,80,748
"6",3,"OG1 (Roman)",2019-06-24,0,0,0,0,100,20,710
"7",4,"OG1 (Benoit)",2019-06-24,0,0,0,1,0,15,756
"8",4,"OG1 (Roman)",2019-06-24,0,0,0,0,0,10,718
"9",5,"OG1 (Benoit)",2019-06-24,0,0,0,0,88,30,764
"10",5,"OG1 (Roman)",2019-06-24,0,0,0,0,100,10,726
"11",1,"OG10 (Andreea)",2019-06-28,0,0,0,1,31.3,40,603
"12",1,"OG10 (Jay)",2019-06-28,0,0,0,0,23,100,567
"13",2,"OG10 (Andreea)",2019-06-28,0,0,0,3,25.1,60,611
"14",2,"OG10 (Jay)",2019-06-28,0,0,0,0,0,80,575
"15",3,"OG10 (Andreea)",2019-06-28,0,0,0,7,56.3,80,619
"16",3,"OG10 (Jay)",2019-06-28,0,0,0,3,7.4,20,583
"17",4,"OG10 (Andreea)",2019-06-28,0,0,0,3,51.1,75,627
"18",4,"OG10 (Jay)",2019-06-28,0,0,0,3,45.9,30,591
"19",5,"OG10 (Andreea)",2019-06-28,0,0,0,7,89.6,85,635
"20",5,"OG10 (Jay)",2019-06-28,0,0,0,2,69.8,20,599
"21",1,"OG2 (Benoit)",2019-06-24,0,0,0,0,11.9,30,773
"22",1,"OG2 (Roman)",2019-06-24,0,0,0,0,50,20,735
"23",2,"OG2 (Benoit)",2019-06-24,0,0,0,2,100,30,781
"24",2,"OG2 (Roman)",2019-06-24,0,0,0,2,100,20,743
"25",3,"OG2 (Benoit)",2019-06-24,0,0,0,3,100,20,789
"26",3,"OG2 (Roman)",2019-06-24,0,0,0,7,100,20,751
"27",4,"OG2 (Benoit)",2019-06-24,0,0,0,1,98.4,20,797
"28",4,"OG2 (Roman)",2019-06-24,0,0,0,6,100,30,759
"29",5,"OG2 (Benoit)",2019-06-24,0,0,0,1,100,20,805
"30",5,"OG2 (Roman)",2019-06-24,0,0,1,7,100,20,767
"31",1,"OG3 (Benoit)",2019-06-28,0,0,0,4,98.4,15,937
"32",1,"OG3 (Roman)",2019-06-28,0,0,0,12,100,30,936
"33",2,"OG3 (Benoit)",2019-06-28,0,0,0,1,24.9,20,945
"34",2,"OG3 (Roman)",2019-06-28,0,0,0,2,10.5,20,944
"35",3,"OG3 (Benoit)",2019-06-28,0,0,0,7,74.01,10,953
"36",3,"OG3 (Roman)",2019-06-28,0,1,0,5,100,20,952
"37",4,"OG3 (Benoit)",2019-06-28,0,0,0,2,74,20,961
"38",4,"OG3 (Roman)",2019-06-28,0,0,0,7,100,40,960
"39",5,"OG3 (Benoit)",2019-06-28,0,0,0,3,71.6,20,969
"40",5,"OG3 (Roman)",2019-06-28,0,0,0,1,15.7,25,968
"41",1,"OG4 (Andreea)",2019-06-26,0,0,0,1,52.1,30,552
"42",1,"OG4 (Jay)",2019-06-26,0,0,0,0,70.8,20,526
"43",2,"OG4 (Andreea)",2019-06-26,0,0,0,0.5,29.2,20,560
